cityst,pop2019,pop_category,called?,photo,use_v2,labelbatch,dont_use_link,small protest,social,size_est_low,size_est_high,srclinks,srclink_2,article_hed,article_source,cities,state,lat,lon,latlonCK,editor,batch,dupe,region,firstday,Tue May 26,Wed May 27,Thu May 28,Fri May 29,Sat May 30,Sun May 31,Mon Jun 1,Tue Jun 2,Wed Jun 3,Thu Jun 4,Fri Jun 5,Sat Jun 6,Sun Jun 7,Mon Jun 8,Tue Jun 9,Before May 29,total_days,FIPS,TOTPOP,P_WHITE_NH,P_BLACK_NH,P_ASIAN_NH,P_HISPANIC,MEDIAN_HHI,wbin,bbin,abin,hbin,ibin,protester violence,police tactics and violence,tactics links,tear gas search,tear gas,tear gas link,tear gas video verification,tear gas police department,"tear gas 
photo",tg check,use,order,where can we get photo,nytname,poprank
BristolNH,"1,916",p1,,0,y,,,,,,,https://www.wmur.com/article/hundreds-gather-for-peaceful-demonstration-in-bristol/32760087,,Hundreds gather for peaceful demonstration in Bristol,WMUR,Bristol,New Hampshire,43.591,-71.737,✓,jugal,9,–,NE,9,,,,,,,,,1,,,,,,,,1,3307620,"1,916",100.0,0.0,0.0,0.0,"41,477",9,0,0,0,40,,,,,,,,,,,,,,"Bristol, N.H.",
WiscassetME,"1,042",p1,,0,y,,,y,,,,https://www.pressherald.com/2020/06/06/peaceful-protesters-demonstrate-at-lincoln-county-sheriffs-office-2/,,,,Wiscasset,Maine,44.003,-69.666,✓,jugal,15,–,NE,11,,,,,,,,,,,1,,,,,,1,2387040,"1,042",100.0,0.0,0.0,0.0,"24,407",9,0,0,0,20,,,,,,,,,,,,,,"Wiscasset, Maine",
ChesterVT,798,p1,,0,y,,,?,,,,https://www.chestertelegraph.org/2020/06/01/dozens-protest-racism-police-violence/,https://www.chestertelegraph.org/2020/06/08/large-turnout-to-support-black-lives-matter/,,,Chester,Vermont,43.262,-72.593,✓,barbara,15,–,NE,7,,,,,,,1,,,,,1,,,,,2,5013600,798,100.0,0.0,0.0,0.0,"46,852",9,0,0,0,40,,,,,,,,,,,,,,"Chester, Vt.",
NaplesME,515,p1,,0,y,,,,,,,https://www.pressherald.com/2020/06/05/peaceful-protest-draws-about-50-people-to-naples-causeway/,,,,Naples,Maine,43.971,-70.611,✓,jugal,15,–,NE,10,,,,,,,,,,1,,,,,,,1,2348050,515,99.4,0.2,0.0,0.0,"76,771",9,0,0,0,70,,,,,,,,,,,,,,"Naples, Maine",
BoulderUT,178,p1,,0,y,white,,,,,,https://twitter.com/HellsBackbone/status/1269139104958017538?s=20,,,,Boulder,Utah,37.908,-111.424,✓,barbara,15,–,W,11,,,,,,,,,,,1,,,,,,1,4907470,178,99.4,0.0,0.6,0.0,"50,417",9,0,0,0,50,,,,,,,,,,,,,,"Boulder, Utah",16117
PortagePA,"2,491",p1,,0,y,,,y,,,,https://www.tribdem.com/news/watch-video-group-holds-black-lives-matter-march-in-portage-to-spread-awareness-in-our/article_d7ecb626-a6df-11ea-be37-6b100ff52449.html,,,,Portage,Pennsylvania,40.387,-78.674,✓,jugal,12,–,NE,10,,,,,,,,,,1,,,,,,,1,4202162048,"2,491",99.2,0.0,0.0,0.0,"40,912",9,0,0,0,40,,,,,,,,,,,,,,"Portage, Pa.",6974
Long Beach IslandNJ,"3,043",p1,,0,y,,,,,,,https://patch.com/new-jersey/barnegat-manahawkin/black-lives-matter-protest-set-saturday-stafford-lbi,,,,Long Beach Island,New Jersey,39.651,-74.177,✓,Yuri,15,–,NE,12,,,,,,,,,,,,1,,,,,1,3402941250,"3,043",98.4,0.0,0.2,0.5,"84,125",9,0,0,0,80,,,,,,,,,,,,,,"Long Beach Island, N.J.",
MifflinburgPA,"3,526",p1,,0,y,,,,,,,https://www.dailyitem.com/news/mifflinburg-danville-protests-draw-hundreds/article_7cada1c8-14cc-5a72-9a7c-22b1002c35c0.html,,,,Mifflinburg,Pennsylvania,40.921,-77.037,✓,jugal,13,–,NE,13,,,,,,,,,,,,,1,,,,1,4249288,"3,526",98.2,1.0,0.0,0.9,"51,830",9,0,0,0,50,,,,,,,,,,,,,,"Mifflinburg, Pa.",5791
GarrettsvilleOH,"2,594",p1,,0,y,white,,y,,,,https://www.record-courier.com/news/20200603/small-protest-in-garrettsville-aims-to-start-conversation-about-race,,,,Garrettsville,Ohio,41.285,-81.099,✓,Alex,15,–,MW,7,,,,,,,1,,,,,,,,,,1,3929442,"2,594",97.9,0.0,0.8,0.3,"51,607",9,0,0,0,50,,,,,,,,,,,,,,"Garrettsville, Ohio",7079
FayettevilleWV,"2,838",p1,,0,y,,,,,,,https://woay.com/peaceful-protesters-gather-in-fayetteville/,,,,Fayetteville,West Virginia,38.052,-81.103,✓,jugal,15,–,NE,5,,,,,1,,,,,,,,,,,,1,5427028,"2,838",97.7,1.9,0.0,0.5,"50,833",9,0,0,0,50,,,,,,,,,,,,,,"Fayetteville, W.Va.",6542
PeterboroughNH,"2,846",p1,,0,y,,,,,,,https://www.ledgertranscript.com/PHOTOS-Protest-against-police-brutality-in-Peterborough-George-Floyd-Black-Lives-Matter-34543778,,Photos: Protests agains racial injustice in Peterborough Saturday,Monadnock Ledger- Transcript,Peterborough,New Hampshire,42.871,-71.952,✓,juliette,8,–,NE,5,,,,,1,,,,,,,,,,,,1,3360500,"2,846",97.6,0.0,0.6,1.8,"77,235",9,0,0,0,70,,,,"https://www.google.com/search?q=""Peterborough"" ""New Hampshire"" ""tear gas""",no,,,,,RL,,532,,"Peterborough, N.H.",
YorkME,"12,966",p1,,0,y,,,,,,,https://www.fosters.com/news/20200606/york-demonstrators-join-in-calls-for-justice,,,,York,Maine,43.145,-70.650,✓,jugal,13,–,NE,12,,,,,,,,,,,,1,,,,,1,2303187985,"12,966",97.6,0.3,0.7,0.5,"89,962",9,0,0,0,80,,,,,,,,,,,,,,"York, Maine",
KennebunkME,"5,809",p1,,0,y,,,,,,,https://www.fosters.com/news/20200604/maine-communities-join-nationwide-calls-to-stand-against-racism,,,,Kennebunk,Maine,43.393,-70.533,✓,jugal,15,–,NE,9,,,,,,,,,1,,,,,,,,1,2336500,"5,809",97.6,0.3,0.3,1.6,"64,543",9,0,0,0,60,,,,,,,,,,,,,,"Kennebunk, Maine",
DodgevilleWI,"4,734",p1,,0,y,,,,,,,https://wkow.com/2020/06/03/group-of-protesters-gather-in-dodgeville/,,,,Dodgeville,Wisconsin,42.960,-90.130,✓,jugal,15,–,MW,9,,,,,,,,,1,,,,,,,,1,5520350,"4,734",97.5,0.1,1.7,0.0,"58,274",9,0,0,0,50,,,,,,,,,,,,,,"Dodgeville, Wis.",4927
LatrobePA,"8,014",p1,,0,y,,,,,,,https://www.latrobebulletinnews.com/news/local/protesters-gather-for-peaceful-march-in-downtown-latrobe/article_8bee04a1-4d71-5b18-b3f4-bb97aeb13b08.html,,,,Latrobe,Pennsylvania,40.317,-79.384,✓,jugal,13,–,NE,7,,,,,,,1,,,,,,,,,,1,4241680,"8,014",97.4,0.5,1.0,0.0,"52,098",9,0,0,0,50,,,,,,,,,,,,,,"Latrobe, Pa.",3667
Gibson CityIL,"3,328",p1,,0,y,,,,,,,https://www.news-gazette.com/multimedia/gibson-city-black-lives-matter-march/collection_246cdfe6-ed7b-5ac4-b5ae-662020d08345.html,,,,Gibson City,Illinois,40.466,-88.380,✓,jugal,15,–,MW,11,,,,,,,,,,,1,,,,,,1,1729125,"3,328",97.4,0.8,0.0,0.2,"42,683",9,0,0,0,40,,,,,,,,,,,,,,"Gibson City, Ill.",6008
PhilipsburgPA,"2,731",p1,,0,y,,,,,,,https://www.lehighvalleylive.com/phillipsburg/2020/06/phillipsburg-protests-racism-police-violence-as-demonstrations-shift-to-smaller-towns-photos.html,https://wjactv.com/news/local/several-protests-scheduled-throughout-the-area-on-sunday,,,Philipsburg,Pennsylvania,40.896,-78.220,✓,jugal,12,–,NE,12,,,,,,,,,,,,1,1,,,,2,4260008,"2,731",97.3,0.8,0.0,1.3,"38,278",9,0,0,0,30,,,,,,,,,,,,,,"Philipsburg, Pa.",6576
AuburnIN,"13,162",p1,,0,y,,,,,,,https://wpta21.com/2020/06/04/several-dozen-take-part-in-auburn-demonstration-for-george-floyd/,,,,Auburn,Indiana,41.367,-85.054,✓,jugal,15,–,MW,10,,,,,,,,,,1,,,,,,,1,1802674,"13,162",97.2,0.2,0.2,1.6,"48,684",9,0,0,0,40,,,,,,,,,,,,,,"Auburn, Ind.",2473
Grundy CenterIA,"2,700",p1,,0,y,,,,,,,https://www.thegrundyregister.com/content/black-lives-matter-grundy-center-protest-draws-sizable-crowd,,,,Grundy Center,Iowa,42.362,-92.768,✓,jugal,15,–,MW,13,,,,,,,,,,,,,1,,,,1,1933195,"2,700",97.1,1.7,0.9,0.0,"58,929",9,0,0,0,50,,,,,,,,,,,,,,"Grundy Center, Iowa",6618
ScituateMA,"5,482",p1,,0,y,,,,,,,https://www.patriotledger.com/news/20200531/dozens-in-scituate-peacefully-protest-death-of-george-floyd,,,,Scituate,Massachusetts,42.200,-70.752,✓,jugal,15,–,NE,6,,,,,,1,,,,,,,,,,,1,2560295,"5,482",97.1,0.6,0.0,0.3,"121,382",9,0,0,0,120,,,,,,,,,,,,,,"Scituate, Mass.",
NewtownPA,"1,953",p1,,0,y,,,,,,,https://philadelphia.cbslocal.com/video/4580739-demonstrators-rally-in-newtown-to-demand-end-to-racism/,,,,Newtown,Pennsylvania,40.230,-74.937,✓,Alex,15,–,NE,12,,,,,,,,,,,,1,,,,,1,4254184,"1,953",97.1,0.3,0.2,0.3,"118,654",9,0,0,0,100,,,,,,,,,,,,,,"https://philadelphia.cbslocal.com/video/4580739-demonstrators-rally-in-newtown-to-demand-end-to-racism/, Pa.",7187
BentonKY,"4,460",p1,,0,y,,,,,,,https://www.wpsdlocal6.com/news/demonstrators-protest-racial-inequality-in-marshall-county/article_fc7515e4-a764-11ea-9468-ff96839fa5ff.html,,,,Benton,Kentucky,36.857,-88.351,✓,jugal,15,–,S,11,,,,,,,,,,,1,,,,,,1,2105824,"4,460",97.0,1.1,0.0,0.3,"49,595",9,0,0,0,40,,,,,,,,,,,,,,"Benton, Ky.",5067
WhitefishMT,"7,309",p1,,0,y,white,,y,,,,https://www.dailyinterlake.com/news/2020/jun/04/black-lives-matter-protests-ramp-up-in-6/,,‘Black Lives Matter’ protests ramp up in Flathead Valley,Daily Inter Lake,Whitefish,Montana,48.411,-114.337,✓,jugal,9,–,W,7,,,,,,,1,1,1,1,,,,,,,4,3079825,"7,309",96.9,0.0,0.5,1.9,"51,059",9,0,0,0,50,,,,,,,,,,,,,,"Whitefish, Mont.",3506
WellsvilleNY,"4,466",p1,,0,y,,,,,,,https://www.wellsvilledaily.com/photogallery/NE/20200601/NEWS/601009998/PH/1,,Protest March in Wellsville,Wellsville Daily Reporter,Wellsville,New York,42.120,-77.945,✓,jugal,8,–,NE,7,,,,,,,1,,,,,,,,,,1,3679092,"4,466",96.9,1.3,0.1,0.8,"42,933",9,0,0,0,40,,,,"https://www.google.com/search?q=""Wellsville"" ""New York"" ""tear gas""",no,,,,,AS,,383,,"Wellsville, N.Y.",5128
CorbinKY,"7,194",p1,,0,y,,,,,,,https://www.thetimestribune.com/news/local_news/protesters-march-around-downtown-corbin-saturday-night/article_fbe44744-d57d-5970-80b7-91a48f740f7b.html,,,,Corbin,Kentucky,36.944,-84.096,✓,jugal,15,–,S,13,,,,,,,,,,,,,1,,,,1,2117362,"7,194",96.7,0.0,0.0,2.5,"31,908",9,0,0,0,30,,,,,,,,,,,,,,"Corbin, Ky.",3867
SharpsvillePA,"4,202",p1,,0,y,,,,,,,https://www.sharonherald.com/herald-gallery/protesters-march-through-sharpsville-to-protest-racial-injustice/collection_3c8f48ac-a6b1-11ea-89e7-fb7a19a19631.html,,,,Sharpsville,Pennsylvania,41.264,-80.476,✓,jugal,14,–,NE,10,,,,,,,,,,1,,,,,,,1,4269800,"4,202",96.6,1.9,0.9,0.5,"47,962",9,0,0,0,40,,,,,,,,,,,,,,"Sharpsville, Pa.",5345
HinesburgVT,773,p1,,0,y,,,,,,,https://www.necn.com/news/coronavirus/in-demonstration-and-march-vt-youth-call-for-racial-justice/2280865/,,,,Hinesburg,Vermont,44.335,-73.106,✓,barbara,15,–,NE,9,,,,,,,,,1,,,,,,,,1,5033400,773,96.6,1.9,1.4,0.0,"52,645",9,0,0,0,50,,,,,,,,,,,,,,"Hinesburg, Vt.",
HollidaysburgPA,"5,705",p1,,0,y,,,,,,,https://www.wearecentralpa.com/news/local-news/residents-gather-at-canal-basin-park-in-hollidaysburg-to-protest-death-of-george-floyd/,,People gather in Hollidaysburg to protest death of George Floyd,WTAJ - www.wearecentralpa.com,Hollidaysburg,Pennsylvania,40.427,-78.389,✓,dawn,8,–,NE,6,,,,,,1,,,,,,,,,,,1,4235224,"5,705",96.5,0.1,1.8,1.5,"48,292",9,0,0,0,40,,,,"https://www.google.com/search?q=""Hollidaysburg"" ""Pennsylvania"" ""tear gas""",no,,,,,AS,,326,,"Hollidaysburg, Pa.",4422
Chagrin FallsOH,"4,061",p1,,0,y,,,,,,,https://fox8.com/news/chagrin-falls-businesses-board-up-windows-but-protest-stays-peaceful/,https://www.wkyc.com/article/news/local/northeast-ohio/demonstrators-hold-peaceful-protest-in-chagrin-falls/95-8dd64df7-596f-430a-9f5b-9faaf64adbc4,,,Chagrin Falls,Ohio,41.430,-81.391,✓,Alex,15,–,MW,8,,,,,,,,1,,1,,,,,,,2,3913358,"4,061",96.4,0.2,1.7,0.3,"96,694",9,0,0,0,80,,,,,,,,,,,,,,"Chagrin Falls, Ohio",5447
SouthwickMA,"9,727",p1,,0,y,,,y,,,,https://www.wwlp.com/news/local-news/hampden-county/southwick-protestors-call-for-justice-over-death-of-george-floyd//,,Southwick protesters call for justice over death of George Floyd,WWLP,Southwick,Massachusetts,42.059,-72.767,✓,jugal,8,–,NE,6,,,,,,1,,,,,,,,,,,1,2501365825,"9,727",96.3,0.0,1.4,1.7,"77,734",9,0,0,0,70,,,,"https://www.google.com/search?q=""Southwick"" ""Massachusetts"" ""tear gas""",no,,,,,RL,,382,,"Southwick, Mass.",
PunxsutawneyPA,"5,808",p1,,0,y,,,,,,,https://www.punxsutawneyspirit.com/content/peaceful-protest-held-barclay-square,,,,Punxsutawney,Pennsylvania,40.943,-78.975,✓,jugal,13,–,NE,7,,,,,,,1,,,,,,,,,,1,4262920,"5,808",96.3,0.7,1.2,0.8,"31,912",9,0,0,0,30,,,,,,,,,,,,,,"Punxsutawney, Pa.",4413
OurayCO,883,p1,,0,y,,,,,,,https://www.denverpost.com/2020/06/09/george-floyd-protests-colorado-cities-towns/,,,,Ouray,Colorado,38.025,-107.672,✓,jugal,14,–,W,10,,,,,,,,,,1,,,,,,,1,856420,883,96.3,0.0,2.4,1.4,"62,303",9,0,0,0,60,,,,,,,,,,,,,,"Ouray, Colo.",10163
SalisburyCT,"3,631",p1,,0,y,,,,,,,https://tricornernews.com/salisbury/protests-against-police-injustice-held-salisbury,,,,Salisbury,Connecticut,41.983,-73.422,✓,jugal,14,–,NE,6,,,,,,1,,,,,,,,,,,1,900566420,"3,631",96.3,0.4,1.2,1.5,"83,698",9,0,0,0,80,,,,,,,,,,,,,,"Salisbury, Conn.",
WeavervilleNC,"3,887",p1,,0,y,white,,,,,,https://wlos.com/news/local/protesters-in-mountains-towns-join-the-call-for-peace-unity-justice,,,,Weaverville,North Carolina,35.701,-82.561,✓,jugal,15,–,S,10,,,,,,,,,,1,,,,,,,1,3771560,"3,887",96.3,0.5,0.4,2.0,"63,135",9,0,0,0,60,,,,,,,,,,,,,,"Weaverville, N.C.",5375
ConwayNH,"3,838",p1,,0,y,,,,,,,https://www.unionleader.com/news/safety/about-200-gather-at-conway-black-lives-matter-protest/article_b0bf72a6-4fd3-56c6-99ab-ded4a84b009a.html,,About 200 gather at Conway Black Lives Matter protest,UnionLeader.com,Conway,New Hampshire,43.979,-71.120,✓,juliette,8,–,NE,6,,,,,,1,,,,,,,,,,,1,3314580,"3,838",96.2,0.0,2.3,0.6,"47,716",9,0,0,0,40,,,,"https://www.google.com/search?q=""Conway"" ""New Hampshire"" ""tear gas""",no,,,,,RL,,534,,"Conway, N.H.",
BucyrusOH,"11,906",p1,,0,y,,,,,,,https://www.bucyrustelegraphforum.com/story/news/2020/06/06/bucyrus-black-lives-matter-protest-peaceful-and-welcoming-saturday/3142933001/,https://www.wmfd.com/article/bucyrus-and-ashland-residents-hold-black-lives-matter-protests-over-the-weekend/4062,,,Bucyrus,Ohio,40.808,-82.977,✓,Alex,15,–,MW,12,,,,,,,,,,,,1,,,,,1,3910030,"11,906",96.2,0.2,1.2,1.3,"38,464",9,0,0,0,30,,,,,,,,,,,,,,"Bucyrus, Ohio",2756
DuboisPA,"7,530",p1,,0,y,,,y,,,,https://www.connectradio.fm/2020/06/01/protests-and-demonstrations-remain-peaceful-in-dubois/,,,,Dubois,Pennsylvania,41.119,-78.760,✓,Alex,15,–,NE,6,,,,,,1,,,,,,,,,,,1,4220136,"7,530",96.2,1.0,0.3,1.9,"48,193",9,0,0,0,40,,,,,,,,,,,,,,"Dubois, Pa.",3808
AuburnNE,"3,322",p1,,0,y,white,,y,,,,https://rivercountry.newschannelnebraska.com/story/42197416/auburn-protest-organizer-calls-black-lives-matter-a-fight-for-humanity,https://rivercountry.newschannelnebraska.com/story/42218485/auburn-adds-its-voice-to-saturday-protests,,,Auburn,Nebraska,40.393,-95.839,✓,Yuri,15,–,MW,7,,,,,,,1,,,,,1,,,,,2,3102655,"3,322",96.1,0.7,1.6,0.8,"55,263",9,0,0,0,50,,,,,,,,,,,,,,"Auburn, Neb.",5905
ManchesterVT,741,p1,,0,y,,,,,,,https://vtdigger.org/2020/06/08/man-reportedly-drove-truck-into-manchester-street-as-protesters-knelt/,,,,Manchester,Vermont,43.173,-73.033,✓,barbara,15,–,NE,13,,,,,,,,,,,,,1,,,,1,5042700,741,96.1,0.0,1.6,1.1,"29,188",9,0,0,0,20,,,,,,,,,,,,,,"Manchester, Vt.",11841
MooresvilleIN,"9,604",p1,,0,n,,,,,,,https://www.statesville.com/gallery/featured/photos-protests-in-mooresville-on-saturday/collection_0ae3fc86-a845-11ea-a7d4-2fb4f04aa6d7.html#1,,,,Mooresville,Indiana,39.611,-86.375,✓,jugal,15,–,MW,12,,,,,,,,,,,,1,,,,,1,1850976,"9,604",96.0,0.0,0.8,2.1,"55,554",9,0,0,0,50,,,,,,,,,,,,,,"Mooresville, Ind.",3137
RoslynWA,644,p1,,0,y,white,,,,,,https://twitter.com/emjmccarty/status/1269343554255511552?s=20,,,,Roslyn,Washington,47.226,-120.996,✓,Barbara,15,–,W,11,,,,,,,,,,,1,,,,,,1,5360055,644,96.0,0.0,1.2,0.6,"53,333",9,0,0,0,50,,,,,,,,,,,,,,"Roslyn, Wash.",10506
Mountain BrookAL,"20,466",p1,,0,y,white,,,,,,https://www.wbrc.com/2020/06/04/hundreds-protest-mountain-brook-over-death-george-floyd/,,,,Mountain Brook,Alabama,33.499,-86.755,✓,jugal,14,–,S,10,,,,,,,,,,1,,,,,,,1,151696,"20,466",95.9,1.0,1.8,1.0,"143,221",9,0,0,0,120,,,,,,,,,,,,,,"Mountain Brook, Ala.",1818
Iron MountainMI,"7,406",p1,,0,y,white,,,,,,https://www.uppermichiganssource.com/content/news/Iron-Mountain-holds-protest-570996131.html,,,,Iron Mountain,Michigan,45.820,-88.065,✓,jugal,15,–,MW,9,,,,,,,,,1,,,,,,,,1,2640960,"7,406",95.9,1.0,0.7,1.4,"44,776",9,0,0,0,40,,,,,,,,,,,,,,"Iron Mountain, Mich.",3828
NewportVT,"4,331",p1,,0,y,,,,,,,https://vtdigger.org/2020/06/05/live-updates-racial-justice-protests-in-vermont/,,,,Newport,Vermont,44.936,-72.208,✓,barbara,15,–,NE,13,,,,,,,,,,,,,1,,,,1,5048850,"4,331",95.9,0.7,0.0,0.1,"39,112",9,0,0,0,30,,,,,,,,,,,,,,"Newport, Vt.",5226
South RoyaltonVT,616,p1,,1,y,,,,,,,https://www.vnews.com/Vigils-held-in-Canaan-Randolph-in-solidarity-with-national-protests-34641243,,,,South Royalton,Vermont,43.820,-72.521,✓,jugal,14,–,NE,12,,,,,,,,,,,,1,,,,,1,5068050,616,95.8,0.0,0.8,3.4,"48,102",9,0,0,0,40,,,,,,,,,,,,,,"South Royalton, Vt.",
SuperiorWI,781,p1,,0,y,white,,,,,,https://wnmtradio.com/news/articles/2020/jun/05/peaceful-protest-in-superior/1026086/,,,,Superior,Wisconsin,46.721,-92.105,✓,jugal,15,–,MW,10,,,,,,,,,,1,,,,,,,1,5578660,781,95.8,0.4,0.0,0.9,"68,500",9,0,0,0,60,,,,,,,,,,,,,,"Superior, Wis.",1468
WarrenPA,"9,250",p1,,0,y,,,y,,,,https://www.timesobserver.com/news/local-news/2020/06/protestors-gather-at-county-courthouse-2/,,,,Warren,Pennsylvania,41.844,-79.145,✓,Jugal,15,–,NE,11,,,,,,,,,,,1,,,,,,1,4281000,"9,250",95.8,0.7,0.8,1.8,"41,816",9,0,0,0,40,,,,,,,,,,,,,,"Warren, Pa.",3284
ColumbiaIL,"10,503",p1,,0,y,,,,,,,https://www.republictimes.net/monroe-county-shows-compassion-concern-for-blm-fight/,,,,Columbia,Illinois,38.441,-90.199,✓,jugal,15,–,MW,10,,,,,,,,,,1,,,,,,,1,1715833,"10,503",95.7,0.2,1.4,1.8,"95,354",9,0,0,0,80,,,,,,,,,,,,,,"Columbia, Ill.",2972
PendletonIN,"4,213",p1,,0,y,,,,,,,https://www.heraldbulletin.com/news/local_news/more-than-100-march-in-pendleton-saturday-morning/article_87eaff84-a7f7-11ea-b6ae-b702a9cf5bff.html,,,,Pendleton,Indiana,39.998,-85.746,✓,jugal,12,–,MW,12,,,,,,,,,,,,1,,,,,1,1858662,"4,213",95.6,1.0,0.0,1.1,"68,778",9,0,0,0,60,,,,,,,,,,,,,,"Pendleton, Ind.",5131
BellbrookOH,"7,174",p1,,0,y,,,,,,,https://www.daytondailynews.com/news/local/vigil-march-bellbrook-protests-racial-inequality/GPaZ6B8WH7gkmv2ccFDVZJ/,,,,Bellbrook,Ohio,39.637,-84.087,✓,jugal,12,–,MW,11,,,,,,,,,,,1,,,,,,1,3905102,"7,174",95.6,0.4,0.9,2.2,"83,826",9,0,0,0,80,,,,,,,,,,,,,,"Bellbrook, Ohio",3813
Mountain HomeAR,"12,303",p1,,0,y,white,,,,,,https://www.baxterbulletin.com/story/news/local/2020/06/07/protests-mostly-peaceful-arrive-mh/3171308001/,,,,Mountain Home,Arkansas,36.337,-92.381,✓,jugal,13,–,S,13,,,,,,,,,,,,,1,,,,1,547390,"12,303",95.5,0.1,0.1,2.8,"39,130",9,0,0,0,30,,,,,,,,,,,,,,"Mountain Home, Ark.",2616
DublinNH,"1,487",p1,,0,y,,,,,,,https://www.ledgertranscript.com/PHOTOS-Protest-against-police-brutality-in-Peterborough-George-Floyd-Black-Lives-Matter-34543778,,,,Dublin,New Hampshire,42.908,-72.063,✓,juliette,8,–,NE,5,,,,,1,,,,,,,,,,,,1,3300519140,"1,487",95.4,0.3,0.6,3.2,"79,167",9,0,0,0,70,,,,"https://www.google.com/search?q=""Dublin"" ""New Hampshire"" ""tear gas""",no,,,,,RL,,533,,"Dublin, N.H.",
MartinsvilleIN,"11,646",p1,,0,y,,,,,,,https://bloomingtonian.com/2020/06/08/blm-protests-sunday-in-martinsville-and-bedford/,,,,Martinsville,Indiana,39.428,-86.427,✓,jugal,15,–,MW,13,,,,,,,,,,,,,1,,,,1,1847448,"11,646",95.4,1.4,0.0,0.9,"46,635",9,0,0,0,40,,,,,,,,,,,,,,"Martinsville, Ind.",2773
BethelVT,674,p1,,0,y,,,,,,,https://www.vnews.com/Upper-Valley-activists-discuss-protests-and-vigils-34595570,,,,Bethel,Vermont,43.833,-72.635,✓,barbara,15,–,NE,8,,,,,,,,1,,,,,,,,,1,5005725,674,95.4,1.5,0.0,2.2,"50,952",9,0,0,0,50,,,,,,,,,,,,,,"Bethel, Vt.",
Pleasant HillsPA,"8,184",p1,,0,y,,,,,,,https://www.post-gazette.com/local/south/2020/06/03/Pleasant-Hills-demonstration-protest-Southland-Shopping-Center-police-brutality-George-Floyd-death/stories/202006030119,,,,Pleasant Hills,Pennsylvania,40.334,-79.962,✓,jugal,13,–,NE,9,,,,,,,,,1,,,,,,,,1,4261328,"8,184",95.3,1.8,1.1,1.6,"73,164",9,0,0,0,70,,,,,,,,,,,,,,"Pleasant Hills, Pa.",3605
FranktonIN,"1,980",p1,,0,y,,,,,,,https://www.heraldbulletin.com/news/frankton-march-draws-more-than-100/article_3df30d42-a9a3-11ea-85ae-37d3e55c0650.html,,,,Frankton,Indiana,40.221,-85.767,✓,jugal,15,–,MW,13,,,,,,,,,,,,,1,,,,1,1825702,"1,980",95.3,0.5,1.1,1.2,"49,352",9,0,0,0,40,,,,,,,,,,,,,,"Frankton, Ind.",7945
GreenvillePA,"5,572",p1,,0,y,,,,,,,https://www.wytv.com/news/local-news/demonstrators-lie-on-ground-as-part-of-peaceful-protest-in-greenville/,,,,Greenville,Pennsylvania,41.405,-80.388,✓,Alex,15,–,NE,10,,,,,,,,,,1,,,,,,,1,4231328,"5,572",95.3,0.8,0.9,1.1,"44,438",9,0,0,0,40,,,,,,,,,,,,,,"Greenville, Pa.",4607
BreckenridgeCO,"4,936",p1,,0,y,white,,,,,,https://www.summitdaily.com/news/crowd-gathers-in-breckenridge-to-peacefully-protest-racial-injustice/,,Crowd gathers in Breckenridge to peacefully protest racial injustice,Summit Daily,Breckenridge,Colorado,39.481,-106.046,✓,jugal,8,–,W,7,,,,,,,1,,,,,,,,,,1,808400,"4,936",95.2,0.3,0.0,3.7,"86,493",9,0,0,0,80,,,,"https://www.google.com/search?q=""Breckenridge"" ""Colorado"" ""tear gas""",no,,,,,AS,,403,,"Breckenridge, Colo.",4779
TaylorvilleIL,"10,964",p1,,0,y,,,,,,,https://herald-review.com/news/local/govt-and-politics/watch-now-taylorville-protest-calls-for-peace-change/article_f914ad27-ae0c-5eb6-a7d2-ce3452f4a411.html,,,,Taylorville,Illinois,39.552,-89.286,✓,jugal,14,–,MW,10,,,,,,,,,,1,,,,,,,1,1774574,"10,964",95.2,0.6,1.1,0.7,"40,137",9,0,0,0,40,,,,,,,,,,,,,,"Taylorville, Ill.",3013
UnionMO,"11,274",p1,,0,y,,,,,,,https://www.emissourian.com/local_news/county/protesters-gather-in-union/article_c85aa0ec-a4ff-11ea-a421-1fd0b347eb8a.html,,,,Union,Missouri,38.446,-91.010,✓,Yuri,15,–,MW,8,,,,,,,,1,,,,,,,,,1,2974626,"11,274",95.2,1.5,0.8,1.6,"50,799",9,0,0,0,50,,,,,,,,,,,,,,"Union, Mo.",2721
Round HillVA,693,p1,,0,y,,,,,,,https://www.loudountimes.com/news/several-hundred-people-turn-out-in-round-hill-for-peaceful-protest-vigil/article_b86c9bd2-a675-11ea-9865-d73b85183465.html,,,,Round Hill,Virginia,39.135,-77.769,✓,Barbara,15,–,S,9,,,,,,,,,1,,,,,,,,1,5169168,693,95.2,0.4,0.7,2.3,"105,536",9,0,0,0,100,,,,,,,,,,,,,,"Round Hill, Va.",12182
